brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
STAT PROFILE,PHOX/BASIC/PLUS/L/C,21524,00385480215244,GS1,CHL,STAT PROFILE pHOx /BASIC/PLUS/L/C PCO2 SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx,21520,00385480215206,GS1,JPI; GKR; CHL; JPK; JKS; JIX,STAT PROFILE pHOx REFERENCE SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,8,53992,10385480539927,GS1,CEM; JPI; CFA; CHL; JGS; JFP,Nova 8/8+ Analyzer w/  Printer /Primary Tube Dilutor,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,"Nova Primary Ampuled Control 1, 2",63164,00385480631648,GS1,CGA,"Nova Primary Ampuled Control 1, 2",In Commercial Distribution,true,2023-02-24,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA CO OX,42017,10385480420171,GS1,CGA; NGD; GJC; JJB; CGZ; JIX; GLY; JFP; GGZ; CFA; BXX; CDS; CGL; GHS; JGS; CHL; CEM; GKK,Remanufactured Stat Profile pHOx Ultra CO-Oximeter Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA CO OX,42013,10385480420133,GS1,NGD; CGL; CHL; GHS; GKK; GJC; CEM; JIX; JFP; CFA; JJB; CGA; GLY; JGS; GGZ; CGZ; CDS; BXX,Stat Profile pHOx Ultra Co-Oximeter Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57823,00385480578233,GS1,CHL,Stat Profile Prime Plus Reference Cartridge,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,16,16483,10385480164839,GS1,CGA,NOVA 16 GLUCOSE MEMBRANE KIT: REFRIGERATE,In Commercial Distribution,true,2016-09-19,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP LAC,47486,20385480474867,GS1,KHP,Nova StatStrip LAC Test Strips,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57826,00385480578264,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 200 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/8/11/13/14,13049,00385480130493,GS1,JPI,NOVA 1/5/8/11/13/14 HEMATOCRIT SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34093,00385480340939,GS1,JJY,"Stat Profile pHOx Plus L Controls Auto-Cartridge, 110",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC,21513,00385480215138,GS1,JPK; JIX; CHL; GKR; JKS; JPI,STAT PROFILE pHOx/BASIC AIR DETECTOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ABG/CCS,52617,00385480526173,GS1,CGA; KHP; JFP; GKF; CHL; CEM; JGS; JIX; CGZ; JJS,Prime Tubing L1 L2 L3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA,48564,00385480485647,GS1,GHS; GLY; CFA; JGS; CGA; CHL; CGZ; GJC; JFP; BXX; CDS; CGL; NGD; CEM; JIX; JJB; GGZ; GKK,STAT PROFILE pHOx ULTRA HEMOLYZER TUBING HARNESS,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57844,00385480578448,GS1,CHL,"Stat Profile Prime Plus Ampuled Controls BG, COOX Levels 1, 2, 3",In Commercial Distribution,true,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34092,00385480340922,GS1,JJY,"Stat Profile pHOx Plus L Controls Auto-Cartridge, 220",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48597,00385480485975,GS1,CGL,Stat Profile pHOx Ultra/CCX Creatinine Membrane Kit,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,1,101,00385480001014,GS1,JFL,TCO2Internal Filling Solution,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,58379,10385480583791,GS1,CHL,Stat Profile Prime Plus MicroSensor Card™ BLANK,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53463,00385480534635,GS1,JIX,Prime Calibrator Cartridge ABG 400 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48594,00385480485944,GS1,CFA; CEM; CDS; CGL; GLY; BXX; GJC; JJB; JFP; NGD; GGZ; CGZ; CGA; JIX; GKK; JGS; GHS; CHL,Stat Profile pHox Ultra/CCX ISE Sensor Blank,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,5,53989,10385480539897,GS1,CEM; JGS; CGZ; JPI,Nova 5/5+ Analyzer w/ Printer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/11/13,16729,00385480167291,GS1,CEM; JPI; JGS; NDW; CGZ,NOVA 1/5/11/13 TUBING HARNESS WITH DILUTOR,In Commercial Distribution,false,2017-04-24,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC/PLUS/L/C,23023,00385480230230,GS1,JFP; CHL; GKR; CGZ; CEM; JGS; CFA; JPI; KHP; JKS; CGA,STAT PROFILE pHOx PLUS/L/C/M W/R Pump Tubing Assembly,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,Statstrip,44375,00385480443753,GS1,CGA,CAPILLARY TUBES 5uL-50 COUNT HOSPITAL METER,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62640,10385480626405,GS1,CHL,Remanufactured Prime ES Comp Plus,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57840,00385480578400,GS1,CHL,Stat Profile Prime Plus Auto QC Cartridge 480 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,49848,00385480498487,GS1,CHL; JPI; GKR; JIX; GJS; JFP; CGZ; CEM; CGA,Stat Profile pHOx Plus Air Detector,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STATSENSOR,1.0,43922,00385480439220,GS1,JJX,StatSensor Creat Control Level 2,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/L/C,27809,00385480278096,GS1,CGA,STAT PROFILE pHOx PLUS/L/C GLUCOSE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48567,00385480485678,GS1,JGS; GKK; JJB; CDS; JFP; CGZ; GLY; GJC; GGZ; GHS; CGA; CEM; CGL; NGD; JIX; CHL; BXX; CFA,STAT PROFILE PHOX ULTRA/CCX CALIBRATOR TUBING,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17514,00385480175142,GS1,CDS; CGZ; JPK; CGA; JPI; JIX; CEM; JFL; JJC; CGL,NOVA 16 REFERENCE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,14,14844,00385480148443,GS1,CEM; CGA; CDS; CGZ; JPI; JGS,NOVA 14 TUBING HARNESS: WITHOUT DILUTOR,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1,15646,00385480156462,GS1,JIX,"NOVA 1 Na+, K+, HCt",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23932,00385480239325,GS1,JJY,"STAT PROFILE PHOX/BASIC CONTROLS AUTO-CARTRIDGE,220",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox plus/c,27896,00385480278966,GS1,JJY,"STAT PROFILE pHOx PLUS/C CONTROL 1,2,3",In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/4/5/8/10/11/12/13/14/16,14182,00385480141826,GS1,CFA; CDS; JGS; CGZ; NDW; JFL; CGA; CGL; CEM; JPI; JFP; JPK; JIX; JJC,Nova 1/4/5/8/10/11/12/13/14/16 Sensor Seal Kit,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,61621,00385480616218,GS1,JGS; CHL; CGA; CGZ,Stat Profile Prime Plus® Flow Path Flush Tool,In Commercial Distribution,false,2022-12-07,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX CO-OX,38185,00385480381857,GS1,CGA; CFA; JIT; JGS; KHP; JJY; CDS; JFP; JPK; JKS; JPI; CGZ; CHL; CGL; JJS; GHS; CEM; JIX; CIG; GKR,STAT PROFILE CRITICAL CARE XPRESS CO-OXIMETER CUVETTE WASHER KIT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,48955,00385480489553,GS1,JFP; NGD; CFA; CGA; GHS; JGS; BXX; CGZ; CHL; GLY; CGL; GJC; JJB; CEM; GKK; CDS; GGZ; JIX,"TUBING ASSEMBLIES L4,L5,L6 STP PHOX ULTRA/CCX",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox/ccx,22771,00385480227711,GS1,JIX,STAT PROFILE pHOx / CCX SO2 Calibrators Multipack,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS C,41887,00385480418874,GS1,JIX,STAT PROFILE pHOx PLUS C CALIBRATOR CARTRIDGE A,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17755,10385480177556,GS1,CGZ,NOVA 16 CHLORIDE SENSOR CAPS,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/BIOPHOX,49846,00385480498463,GS1,JPI; JKS; JPK; JIX; CHL; GKR,Stat Profile pHOx/Basic/BiopHOx W/R Pump Tubing Assembly,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53421,00385480534215,GS1,JJS; JJX; CHL,Remanufactured PRIME ABG Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48552,00385480485524,GS1,CGA,Stat Profile Ultra/CCX Glucose Membrane Kit,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA,11533,00385480115339,GS1,CEM; JFP; CGZ; CDS; JIX; KHP; JPI; JJY; JKS; JGS; CFA; CHL,STAT PROFILE/M/ULTRA CAPILLARY TUBE KIT: 250uL WITH Li HEPARIN,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.75,53399,00385480533997,GS1,PZI,Statstrip Glucose Meter with Battery and Quick Reference Guide Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.0,51707,10385480517079,GS1,CGA; JJX,StatStrip GLU Meter with Quick Reference Guide Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17510,00385480175104,GS1,CGZ,NOVA 16 CHLORIDE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62350,10385480623503,GS1,CHL,Prime ES Comp Plus,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Lactate Plus,Lactate Plus,40814,00385480408141,GS1,KHP,Lactate Plus LAC Control 2,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,48630,10385480486306,GS1,KHP; CGL; CGA,StatSensor StatStrip Wireless Carrying Case for Meter and Supplies,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOS PLUS/L/C,28953,00385480289535,GS1,JGS; JFP; JKS; CHL; GKR; JPI; CEM; CGZ; CGA,STAT PROFILE pHOx PLUS/L/C AIR DETECTOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1-16,13524,00385480135245,GS1,JJY,LINEARITY STANDARD SET D,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,21519,00385480215190,GS1,JIX; JPK; JPI; GKR; JKS; CHL,STAT PROFILE pHOx PROBE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48837,00385480488372,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 2 With Creatinine,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA,9797,00385480097970,GS1,CHL,"STAT PROFILE/ULTRA PCO2, SEALING WASHERS",In Commercial Distribution,false,2017-12-19,NOVA BIOMEDICAL CORPORATION
NOVA,1,8161,00385480081610,GS1,JPI,NOVA/STAT PROFILE Hematocrit Controls,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,12,15650,00385480156509,GS1,JIX,"NOVA 12 Na+, K+, Cl-,  TCO2, Glu, BUN",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,CRT,14253,00385480142533,GS1,JJC; NDW; JPK; JIX; CEM; JPI; CFA; CGL; JFL; JFP; CGA; JGS; CDS; CGZ,Microsample Tube Kit 50 ul Nova CRT,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48584,00385480485845,GS1,BXX; NGD; JFP; GLY; GKK; CGA; CHL; CDS; CEM; JIX; GGZ; GJC; CFA; JJB; GHS; JGS; CGZ; CGL,Stat Profile pHOx Ultra/CCX Replacement Gasket Kit Flow- Through Sensor,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,42032,10385480420324,GS1,CGZ; GKF; JGS; CHL; CGA; CEM; JIX; JJS; KHP; JFP,Prime Sensor Card CCS,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57831,00385480578318,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 100 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,40094,00385480400947,GS1,JIT; CIG; JJY,STAT PROFILE CCX CO-OX SPLITTER VALVE TUBING KIT,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36794,00385480367943,GS1,JPI; KHP; CGA; CHL; JGS; CDS; CFA; CEM; JJS; JFP; JPK; CGL; CGZ; GKR; JIX; JKS; GHS,STAT PROFILE CRITICAL CARE XPRESS CONTROL FLUSH FIXTURE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatStrip,Xpress,43404,10385480434048,GS1,CGA,StatStrip Xpress Glucose Meter and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,63685,63685,00385480636858,GS1,PZI,StatStrip Glucose Hospital Meter System,In Commercial Distribution,false,2024-03-28,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48927,00385480489270,GS1,JJY,Stat Profile pHOx Ultra/CCX Chemistry Controls Auto-Cartridge with Creat 4/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/4/5/8/10/11/12/13/14,14714,00385480147149,GS1,JGS,NOVA 1/4/5/8/10/11/12/13/14 SODIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA,9796,00385480097963,GS1,CHL,STAT PROFILE ULTRA pH SEALING WASHERS,In Commercial Distribution,false,2017-12-19,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48555,00385480485555,GS1,CDS,Stat Profile pHOx Ultra/CCX BUN Base Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48832,00385480488327,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP XPRESS GLU,41743,00385480417433,GS1,JJX,StatStrip StatStrip Xpress GLU Control Level 3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27807,00385480278072,GS1,CGA; JIX; GKR; JFP; CGZ; CEM; JPI; CHL; GJS,STAT PROFILE pHOx PLUS SENSOR MODULE REPLACEMENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57821,10385480578216,GS1,CHL,"Stat Profile Prime Plus MicroSensor Card™ BUN, Creatinine",In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48921,00385480489218,GS1,JJY,Stat Profile pHOx Ultra/CCX CO-Oximeter Controls Auto-Cartridge 6/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA/STAT PROFILE,PHOX/CO-OX,20519,00385480205191,GS1,GLY; JIX; JKS; JPK; CHL; JPI; GKR,STAT PROFILE pHOx/NOVA CO-OXIMETER CUVETTE WINDOW KIT,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Nova Max,Plus,43436,10385480434369,GS1,JIN; JJX; CGA; NBW,Nova Max Plus Blood Glucose Monitoring System,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX BASIC,35349,10385480353493,GS1,JPK; CHL; JIX,Stat Profile PHOX BASIC Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,35638,00385480356381,GS1,JJY,"STAT PROFILE CRITICAL CARE XPRESS CONTROL 1,2,3",In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,53402,10385480534021,GS1,CGA; KHP; CGL,StatStrip StatSensor Docking Station,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,5,15648,00385480156486,GS1,JIX,"NOVA 5 Na+, K+, Cl-, HCt CALIBRATOR",In Commercial Distribution,false,2017-04-24,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,53401,10385480534014,GS1,KHP; CGL; CGA,StatStrip StatSensor Docking Station,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS C,41889,00385480418898,GS1,JIX,STAT PROFILE pHOx PLUS C CALIBRATOR CARTRIDGE B,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23934,00385480239349,GS1,JIX,STAT PROFILE PHOX/BASIC CALIBRATOR CARTRIDGE D,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,13,15651,00385480156516,GS1,JIX,"NOVA 13 Na+, K+, Cl-, Li+, Hct",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,MAX PLUS KETONE,53493,20385480534936,GS1,JIN,NOVA MAX PLUS KETONE TEST STRIPS,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48554,00385480485548,GS1,KHP,Stat Profile Ultra/CCX Lactate Membrane Kit,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS/L/C/M,32965,00385480329651,GS1,CFA; KHP; JFP; CGA; CHL; JKS; CGZ; GKR; CEM; JGS; JPI,Stat Profile pHOx Plus/L/C/M W/R Tubing Set,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36453,00385480364539,GS1,GHS; JPI; JJS; CEM; JIX; CGA; JGS; JPK; CHL; JKS; CGL; CGZ; CFA; CDS; JFP; GKR; KHP,"TUBING ASSEMBLY C1, C2, C3 STP CCX",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA/STAT PROFILE,1,12704,00385480127042,GS1,JFP; JFL; JPK; JIX; CDS; CGA; JPI; JGS; CGZ; JJC; NDW; CEM; CFA; CGL,PREHEATER DEPROTEINIZING SOLUTION,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA,42018,10385480420188,GS1,GHS; CGL; JIX; JFP; NGD; GJC; GLY; CFA; CGA; JGS; GGZ; CDS; GKK; CHL; JJB; BXX; CGZ; CEM,Remanufactured Stat Profile pHOx Ultra Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,Co-Ox,18099,00385480180993,GS1,JJY,"NOVA CO-OXIMETER CONTROL 1,2,3HHb, 02Hb, COHb, Me+, Hb",In Commercial Distribution,true,2016-09-19,NOVA BIOMEDICAL CORPORATION
NOVA,16,17879,00385480178792,GS1,JPK; CDS; CGL; JFL; JJC; JPI; CGA; JIX; CGZ; CEM,NOVA 16 FLOWCELL,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,1,6553,00385480065535,GS1,CHL,PCO2 INTERNAL FILLING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27612,00385480276122,GS1,JIX,STAT PROFILE pHOx PLUS CALIBRATOR CARTRIDGE C,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,37938,00385480379380,GS1,CGA; JKS; CDS; JPI; JJS; KHP; JPK; GHS; CGL; JIX; JFP; CEM; JGS; GKR; CGZ; CFA; CHL,STAT PROFILE CCX HEMOLYZER TUBING HARNESS,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,8,15196,00385480151962,GS1,JIX,"NOVA 8 Na+, K+, Ca+, Mg++, pH, Hct",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48581,00385480485814,GS1,JFP,Stat Profile Ultra/CCX IonizedCalcium Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17512,00385480175128,GS1,JFL,NOVA 16 TCO2 SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,PRIME,52616,00385480526166,GS1,CGZ; JFP; CGA; KHP; CHL; JGS; GKF; JJS; CEM; JIX,Prime Tubing L1 L2 L3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,34647,00385480346474,GS1,JPI; JKS; JIX; GKR; CHL; JPK,"WASTE TUBE ASSEMBLY, pHOx (REPLACEMENT), INTERNAL",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48905,00385480489058,GS1,JJY,Stat Profile pHOx Ultra/CCX Chemistry Controls Auto-Cartridge 6/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34085,00385480340854,GS1,JIX,STAT PROFILE pHOx PLUS L CALIBRATOR CARTRIDGE A,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX,40721,00385480407212,GS1,CFA; CEM; JGS; KHP; CGA; JFP; JPK; GHS; CGZ; CHL; JJS; GKR; JPI; JIX; JKS; CDS; CGL,STAT PROFILE CRITICAL CARE EXPRESS MAGNETS FOR CAPILLARY TUBES 10 PER VIAL,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,59508,10385480595084,GS1,CHL,Stat Profile Prime Plus® Analyzer (Remanufactured),In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Glucose Membrane,63230,00385480632300,GS1,CGA,Nova Primary Glucose Membrane,In Commercial Distribution,false,2023-02-22,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO OX,37413,10385480374139,GS1,JJS; JIX; CGA; CIG; CHL; GKR; CDS; CGZ; JPI; CGL; JJY; JPK; CEM; JFP; JKS; KHP; CFA; GHS; JGS; JIT,Stat Profile Critical Care Express CO-Oximeter Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,Lancet,41224,00385480412247,GS1,CGA,Safety Lancets 28-Gauge 100 Pack Boxed,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor,1.0,50668,10385480506684,GS1,CGL,StatSensor Creatinine Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Lactate Plus,Blood Lactate Measuring Meter,62624,10385480626245,GS1,KHP,Lactate Plus Blood Lactate Measuring Meter Kit,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53418,00385480534185,GS1,GKF; JGS; JJS; CGZ; JIX; CHL; CEM; KHP; JFP; CGA,Remanufacture PRIME CCS Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
Stat Profile,3,8297,00385480082976,GS1,CHL,STAT PROFILE 3 CAPILLARY TUBE KIT 150 uL WITH HEPARIN,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,12/14,14610,00385480146104,GS1,CDS,NOVA 12/14 BUN SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,61615,10385480616154,GS1,CHL,Stat Profile Prime Plus MicroSensor Card™ with COOX,In Commercial Distribution,false,2018-12-21,NOVA BIOMEDICAL CORPORATION
NOVA,1,18098,00385480180986,GS1,GLY,NOVA CO-OXIMETER DEPROTEINIZING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,53400,10385480534007,GS1,CGL; KHP; CGA,StatStrip StatSensor Docking Station,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48601,00385480486019,GS1,CHL,Stat Profile pHOx Ultra/CCX PCO2 Membrane Cap Kit,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
