brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
NOVA,8,53991,10385480539910,GS1,JPI; JGS; JFP; CEM; CFA; CHL,Nova 8/8+ Analyzer w/ Printer /Auto Sampler,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27610,00385480276108,GS1,JIX,STAT PROFILE pHOx PLUS CALIBRATOR CARTRIDGE A,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,12/14,16153,00385480161534,GS1,CDS; CGA,NOVA 12/14 GLU/BUN SENSOR BLANK,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,56036,10385480560365,GS1,CGL; KHP; CGA,StatStrip Docking Station Remanufactured 2 position 1.75,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,49204,00385480492041,GS1,JIX; JFP; NGD; GLY; CEM; JGS; CFA; GHS; CHL; GJC; BXX; CGL; CDS; GGZ; CGZ; GKK; JJB; CGA,Stat Profile pHox Ultra/CCX Blank Sensor Gas,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53105,00385480531054,GS1,JIX,Prime Calibrator Cartridge CCS Comp 400 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53360,00385480533607,GS1,JIX,Prime Calibrator Cartridge ABG 200 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27613,00385480276139,GS1,JIX,STAT PROFILE pHOx PLUS CALIBRATOR CARTRIDGE D,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Statstrip,Xpress2,56510,10385480565100,GS1,CGA,StatStrip Xpress2 GLU Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,45150,00385480451505,GS1,JJY,Prime Auto QC Cartridge CCS 200 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
